Ref,Val,Package,PosX,PosY,Rot,Side
"R31","10K","0603_1608METRIC_PAD1.05X0.95MM_HANDSOLDER",203.162000,-99.988000,180.000000,top
"R32","10K","0603_1608METRIC_PAD1.05X0.95MM_HANDSOLDER",189.700000,-99.988000,0.000000,top
"R33","10K","0603_1608METRIC_PAD1.05X0.95MM_HANDSOLDER",189.700000,-97.448000,0.000000,top
"R34","10K","0603_1608METRIC_PAD1.05X0.95MM_HANDSOLDER",189.700000,-94.908000,0.000000,top
"R35","10K","0603_1608METRIC_PAD1.05X0.95MM_HANDSOLDER",189.700000,-92.495000,0.000000,top
"R36","10K","0603_1608METRIC_PAD1.05X0.95MM_HANDSOLDER",183.096000,-92.368000,180.000000,top
"R37","10K","0603_1608METRIC_PAD1.05X0.95MM_HANDSOLDER",182.969000,-94.908000,180.000000,top
"R38","10K","0603_1608METRIC_PAD1.05X0.95MM_HANDSOLDER",182.969000,-97.448000,180.000000,top
"R39","10K","0603_1608METRIC_PAD1.05X0.95MM_HANDSOLDER",182.969000,-99.988000,180.000000,top
"R40","10K","0603_1608METRIC_PAD1.05X0.95MM_HANDSOLDER",169.507000,-99.988000,0.000000,top
"R41","10K","0603_1608METRIC_PAD1.05X0.95MM_HANDSOLDER",169.507000,-97.448000,0.000000,top
"R42","10K","0603_1608METRIC_PAD1.05X0.95MM_HANDSOLDER",169.507000,-94.908000,0.000000,top
"R43","10K","0603_1608METRIC_PAD1.05X0.95MM_HANDSOLDER",169.507000,-92.368000,0.000000,top
"SW1","TS-1187A-B-A-B","SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2",125.946000,-92.241000,0.000000,top
"U2","SN74HC165N","DIP-16_L19.8-W6.5-P2.54-LS7.6-BL",148.044000,-90.082000,0.000000,top
"U3","Micro USB-B 5P_C40942","USB-MICROB",78.067000,-89.193000,-90.000000,top
"U4","SN74HC165N","DIP-16_L19.8-W6.5-P2.54-LS7.6-BL",148.044000,-106.338000,0.000000,top
